City,Country,"Official
population",Date,Ref.
Istanbul,Turkey,"15,655,924",31 Dec 2023,
Moscow,Russia,"13,149,803",1 Jan 2024,
London,United Kingdom,"8,866,180",30 Jun 2022,
Saint Petersburg,Russia,"5,597,763",1 Jan 2024,
Berlin,Germany,"3,755,251",31 Dec 2022,
Madrid,Spain,"3,332,035",1 Jan 2023,
Kyiv,Ukraine,"2,952,301",1 Jan 2022,
Rome,Italy,"2,754,719",1 Jan 2024,
Baku,Azerbaijan,"2,336,600",1 Jan 2023,
Paris,France,"2,087,577",1 Jan 2024,
Vienna,Austria,"2,006,134",1 Jan 2024,
Minsk,Belarus,"1,992,862",1 Jan 2024,
Hamburg,Germany,"1,892,122",31 Dec 2022,
Warsaw,Poland,"1,861,644",30 Jun 2023,
Bucharest,Romania,"1,739,297",1 Jan 2023,
Belgrade,Serbia,"1,683,229",1 Jan 2023,
Budapest,Hungary,"1,671,004",1 Jan 2023,
Barcelona,Spain,"1,660,122",1 Jan 2023,
Munich,Germany,"1,512,491",31 Dec 2022,
Kharkiv,Ukraine,"1,421,225",1 Jan 2022,
Prague,Czech Republic,"1,384,732",1 Jan 2024,
Milan,Italy,"1,371,850",1 Jan 2024,
Kazan,Russia,"1,318,604",1 Jan 2024,
Sofia,Bulgaria,"1,286,965",31 Dec 2023,
Tbilisi,Georgia,"1,241,709",1 Jan 2023,
Nizhny Novgorod,Russia,"1,204,985",1 Jan 2024,
Ufa,Russia,"1,163,304",1 Jan 2024,
Samara,Russia,"1,158,952",1 Jan 2024,
Birmingham,United Kingdom,"1,157,163",30 Jun 2022,
Rostov-on-Don,Russia,"1,140,487",1 Jan 2024,
Krasnodar,Russia,"1,138,654",1 Jan 2024,
Yerevan,Armenia,"1,127,000",1 Jul 2024,
Cologne,Germany,"1,084,831",31 Dec 2022,
Voronezh,Russia,"1,046,425",1 Jan 2024,
Perm,Russia,"1,026,908",1 Jan 2024,
Volgograd,Russia,"1,018,898",1 Jan 2024,
Odesa,Ukraine,"1,010,537",1 Jan 2022,
